                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.29865,                 0.2468,                0.91739,                0.99573,                      1,                  0.995,                  0.995,                0.15904,                0.52552,                0.61863,              0.0018574,              0.0018574,              0.0018574
                     38,                0.27636,                0.23376,                0.91817,                0.99748,                      1,                  0.995,                  0.995,                0.16974,                0.16186,                0.59178,              0.0018535,              0.0018535,              0.0018535
                     39,                 0.2891,                0.23217,                0.91711,                 0.9922,                      1,                  0.995,                  0.995,                0.30953,                0.65909,                0.75075,              0.0018495,              0.0018495,              0.0018495
                     40,                0.29562,                0.24396,                0.91867,                0.99514,                      1,                  0.995,                  0.995,                0.30706,                0.34999,                0.70229,              0.0018456,              0.0018456,              0.0018456
                     41,                  0.295,                0.23165,                 0.9216,                      1,                0.98979,                  0.995,                0.90461,                0.54774,                0.55043,                0.86474,              0.0018416,              0.0018416,              0.0018416
                     42,                0.29012,                0.23863,                0.93001,                0.99727,                      1,                  0.995,                  0.995,                0.18403,                0.23229,                0.65497,              0.0018376,              0.0018376,              0.0018376
                     43,                0.29925,                0.24939,                0.92738,                0.99746,                      1,                  0.995,                  0.995,                0.19559,                0.20165,                0.68131,              0.0018337,              0.0018337,              0.0018337
                     44,                0.28272,                0.22791,                0.90956,                0.99643,                      1,                  0.995,                  0.995,                0.14277,                0.25541,                 0.5784,              0.0018297,              0.0018297,              0.0018297
                     45,                0.29234,                0.23883,                 0.9171,                0.99697,                      1,                  0.995,                  0.995,                0.15968,                0.31145,                0.63476,              0.0018258,              0.0018258,              0.0018258
                     46,                0.27197,                0.23192,                0.91771,                0.99614,                      1,                  0.995,                  0.995,                0.20937,                0.67675,                0.63856,              0.0018218,              0.0018218,              0.0018218
                     47,                0.31221,                0.25199,                0.92636,                0.99374,                      1,                  0.995,                  0.995,                0.27897,                 1.0335,                0.70191,              0.0018178,              0.0018178,              0.0018178
